level1,level2,level3,level4,level5
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Adaptive indicators
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Creation of counterfactuals
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Use qualitative tools
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Emphasis on the power of facts and data
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Emphasis on data analysts in the qualitative field
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Collective Impact Assessment
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,More rigorous impact evaluations
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,building data collection into daily activities
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Focus on more than just quantitative data
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Tools and Data,Encourage evidence building
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Strategy,Development of resource-efficient mixed methods approaches
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Strategy,Integration of justice and peacebuilding in humanitarian and development programming
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Strategy,Do it
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Strategy,Incorporate evaluation at the beginning of the progams
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Strategy,Inculcate M&E practices as central to the work
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Strategy,Assessment of actors and exhaustive situations first
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Practical DM&E Models,"Cost effective, focused, simple DM&E practices"
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Practical DM&E Models,Start small and then build from there
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Practical DM&E Models,Realistic feasibility
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Practical DM&E Models,"Simple, realistic, and cost effective DME models"
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Engage Key Stakeholders,Simplified participative approaches
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Engage Key Stakeholders,Involving actors at all levels
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Engage Key Stakeholders,Community participation
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Engage Key Stakeholders,Role of women emphasized
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Engage Key Stakeholders,Community input on ways to conduct DM&E
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Engage Key Stakeholders,"Engage key stakeholders to be a part of DME (communities, beneficiaries)"
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Change POV,Looking at DME as a service (as the technology concept)
M&E Impediments,Lack of individual and organizational capacity,Strengthen DM&E techniques,Change POV,Incorporate creative ways to incorporate DM&E into project instead of external component
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Train youth to use M&E tools 
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Train youth to be more accountable
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,M&E trainings
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Capacity building workshops
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Accessible trainings resources (Time and incentives) for DME
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Training of peacebuilding professionals
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Capacity building
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Improve accessibility and affordability of trainings and capacity building across the globe
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Continued trainings and capacity development (within organization or extenal as well)
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Capacity building across the globe
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Increased trainings
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Increased mentorships across the field of peace and development
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,More follow up support for those using DME
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Trainings on DME as a crucial part of process
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Training,Continue support for young peacebuilding evaluators
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,Research of M&E incorporated into curricula
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,Theory and Practice gap bridging
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,Incorporate DME as core element of peace education
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,Streamlined models across the field (DME models)
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,Education
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,Grad programs incorporate DME skills
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,Coordination with academia
M&E Impediments,Lack of individual and organizational capacity,Capacity Building ,Co-ordination with Education,More education
