level1,level2,level3,level4,level5
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Youth Engagement,Juniorize the sector
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Partnerships with the private sector
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Build a group of advisors from other sectors for your organization
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Cross sector partnerships
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Interdisciplinary / cross sector collaboration
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Opportunity to build bridges
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Including professionals from other sectors that play a role in peacebuilding
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Recognizing that development workers may not agree that peace can be at the center when humanitarian crises are ongoing
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Support other sectors to gain their support
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,"Promote dialogue between key players such as NGOs, CBOs, governments, etc"
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Collective Impact
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Look for joint opportunities with actors of other disciplines
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Build alliances
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Coalition
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Jointly beneficial partnerships across sectors
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Networking with others
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Collaboration & Cooperation,Get in with hollywood
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Joint Funding,Open new funding with cross sector knowledge and support
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Cross-Sector Collaboration,Joint Funding,Joint funding applications with other sectors
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Trainings,Peacebuilding training in development programs
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Trainings,More training in systems thinking
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Trainings,Incorporate peacebuilding into development trainings
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,Focus on peace should not be lost
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,Cross sector peace programming should be incorporated into curricula
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,Offer educational opportunities for other sector professionals for additional qualifications in peacebuilding
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,More studies in academia linking various sectors
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,Incorporate peacebuilding into development academic study
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,Educate funders to invest longer term peacebuilding initiatives that include development
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,Integration of sectors at the academic level
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Peace Education,Education,Education
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,"Influence donor country government to mandate integration of peacebuilding, humanitarian and dev programs","Influence donor country government to mandate integration of peacebuilding, humanitarian and dev programs"
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Advocacy,Advocacy
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Advocating to policy makers on the need for cross sector work,Advocating to policy makers on the need for cross sector work
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Advocacy,Advocacy
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,High level advocacy,High level advocacy
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,"Advocate to governments and policy makers on importance of cross sector programming (through storytelling, actionable intel and evidence based advocacy)","Advocate to governments and policy makers on importance of cross sector programming (through storytelling, actionable intel and evidence based advocacy)"
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Advocating amongst policy makers,Advocating amongst policy makers
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Improving communication of success and failures,Improving communication of success and failures
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Raising awareness about the importance of cross-sector programming,Raising awareness about the importance of cross-sector programming
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Raise awareness among development orgs for need of cross sector work,Raise awareness among development orgs for need of cross sector work
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Clear articulation through narratives projects,Clear articulation through narratives projects
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Peacebuilding field needs to articulate assertively the intersection across all the sectors with peacebuilding,Peacebuilding field needs to articulate assertively the intersection across all the sectors with peacebuilding
Opportunities for Future,Greater recognition that peace requires a multi-dimensional foundation,Advocacy & Awareness Raising,Diagrammatic reperesentation of interconnectivity between peace to development actions,Diagrammatic reperesentation of interconnectivity between peace to development actions
