level1,level2,level3,level4,level5
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Make common cause with other social change organizations to build a constituency for peace and justice
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Connect constituencies across countries to build global movement
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Create coalitions for peace
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Dialogue across different groups
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Elicit support of political actors in peacebuilding efforts
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Support from UN
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Collaboration for emerging forms of warfare
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Coalitions to address these threats
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Request input of history/geopolitic/ context specific specialists into peacebuilding programming
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Cultural exchanges
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Create coalitions for peace
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Peacebuilding clubs on a global scale
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Continued advocacy for greater collaboration
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Advocacy for greater collaboration
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Coalitions,Peacebuilders at the dimplomatic level instead of only at grassroots level
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Funding,Coordination amongst funding bodies
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Civ-Mil Collaboration,Collaboration with DoD and military entities
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Civ-Mil Collaboration,Coalition building with military
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Civ-Mil Collaboration,Lack of military intervention
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Civ-Mil Collaboration,Interactions with broader national security sectors
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Civ-Mil Collaboration,Collaboration with the military
Threats to Future,Rise of new geopolitics and warfare,Collaboration & Communication,Civ-Mil Collaboration,Increased peacemakers instead of military in conflict
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Domestic,Work domestically in the US
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,Preliminary level support of existing conflicts
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,Creative approach (Arts and peacebuilding)
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,Story telling from long distance violence
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,Apathy driven approaches
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,Improving reach of organizations
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,Creative approaches for progamming and evaluation/learning
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,Stroytelling
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Creative Programming,"Tailor interventions to context like geography, etc"
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Adaptive Programming,Adapting mechanisms to address modern challenges
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Adaptive Programming,Adaptive Programming
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Adaptive Programming,Program adaptation
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Adaptive Programming,Program monitoring and adaptation
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Community-Based,Community based approaches
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Community-Based,"Person to person, community to commnity approaches to counter false news and manipulation"
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Community-Based,Increased citizen engagement
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Community-Based,Local engagement in peacebuilding
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Conflict Prevention,Conflict prevention programming
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Conflict Prevention,Conflict prevention and prediction approaches
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Conflict Prevention,"Collaborative, scaled up, smart projects that address the roots of conflicts"
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Conflict Prevention,Conflict Prevention
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Conflict Prevention,Proactive initiatives
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Resilence Programming,Honoring dignity of all people (Resilience programming
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Resilence Programming,Civic engagement in communities (Resilience programming)
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Resilence Programming,Resilience programming
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Resilence Programming,Risk management techniques
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Youth Programming,Youth engagement
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Youth Programming,Youth involvement in politics and decision making
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Cross-Sector Programming,Cross sector programming
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Cross-Sector Programming,Cross sector programming and partnerships
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Cross-Sector Programming,"mental health, psychosocial support into peacebuilding"
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Cross-Sector Programming,Cultural based trauma healing/recovery approaches/programming
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Cross-Sector Programming,Cross sector programming
Threats to Future,Rise of new geopolitics and warfare,Innovative Programming,Cross-Sector Programming,Incorporation of preventing cyberwarfare under the scope of peacebuilding
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,"Social science technology approaches: social netoworking, social epidemiology, social diffusion, social media","Social science technology approaches: social netoworking, social epidemiology, social diffusion, social media"
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,"Bots for peace-monitor hate speech, nationalist or bigoted rhetoric","Bots for peace-monitor hate speech, nationalist or bigoted rhetoric"
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Technology,Technology
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,New technologies,New technologies
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Digital literacy to counter fake news,Digital literacy to counter fake news
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Technology,Technology
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Global media and technology for awareness,Global media and technology for awareness
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Digital Literacy,Digital Literacy
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Spreading positive propoganda through media,Spreading positive propoganda through media
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,Hightened media accountability,Hightened media accountability
Threats to Future,Rise of new geopolitics and warfare,Harnessing Technology,"Technology (tools for peacebuilding, open data, and governments)","Technology (tools for peacebuilding, open data, and governments)"
